DATE,A023RC1Q027SBEA
1947-01-01,241.071
1947-04-01,244.305
1947-07-01,248.711
1947-10-01,257.358
1948-01-01,266.463
1948-04-01,275.134
1948-07-01,280.423
1948-10-01,282.694
1949-01-01,275.566
1949-04-01,271.992
1949-07-01,272.136
1949-10-01,268.365
1950-01-01,278.734
1950-04-01,291.25
1950-07-01,309.13
1950-10-01,320.905
1951-01-01,334.071
1951-04-01,342.533
1951-07-01,348.819
1951-10-01,356.023
1952-01-01,358.053
1952-04-01,360.623
1952-07-01,367.979
1952-10-01,380.21
1953-01-01,386.981
1953-04-01,390.569
1953-07-01,389.41
1953-10-01,382.354
1954-01-01,384.556
1954-04-01,385.597
1954-07-01,389.588
1954-10-01,399.189
1955-01-01,412.067
1955-04-01,422.135
1955-07-01,430.673
1955-10-01,438.296
1956-01-01,443.384
1956-04-01,450.515
1956-07-01,456.705
1956-10-01,466.115
1957-01-01,474.162
1957-04-01,477.332
1957-07-01,482.068
1957-10-01,476.234
1958-01-01,470.778
1958-04-01,473.603
1958-07-01,487.423
1958-10-01,501.029
1959-01-01,512.731
1959-04-01,527.482
1959-07-01,525.403
1959-10-01,531.241
1960-01-01,545.05
1960-04-01,546.399
1960-07-01,548.452
1960-10-01,547.293
1961-01-01,549.797
1961-04-01,560.12
1961-07-01,570.65
1961-10-01,586.004
1962-01-01,596.106
1962-04-01,604.065
1962-07-01,611.477
1962-10-01,620.531
1963-01-01,628.359
1963-04-01,638.382
1963-07-01,647.89
1963-10-01,658.937
1964-01-01,672.356
1964-04-01,683.602
1964-07-01,696.146
1964-10-01,705.605
1965-01-01,725.589
1965-04-01,738.323
1965-07-01,751.157
1965-10-01,772.248
1966-01-01,794.328
1966-04-01,806.14
1966-07-01,819.364
1966-10-01,833.767
1967-01-01,842.018
1967-04-01,850.76
1967-07-01,868.451
1967-10-01,886.728
1968-01-01,909.948
1968-04-01,933.464
1968-07-01,955.53
1968-10-01,975.457
1969-01-01,995.069
1969-04-01,1013.559
1969-07-01,1034.407
1969-10-01,1045.556
1970-01-01,1053.35
1970-04-01,1068.494
1970-07-01,1086.062
1970-10-01,1089.525
1971-01-01,1129.26
1971-04-01,1151.968
1971-07-01,1172.71
1971-10-01,1197.762
1972-01-01,1233.808
1972-04-01,1257.19
1972-07-01,1290.599
1972-10-01,1340.45
1973-01-01,1381.489
1973-04-01,1411.135
1973-07-01,1445.235
1973-10-01,1489.536
1974-01-01,1508.215
1974-04-01,1536.763
1974-07-01,1571.733
1974-10-01,1596.494
1975-01-01,1612.119
1975-04-01,1649.626
1975-07-01,1713.813
1975-10-01,1762.671
1976-01-01,1817.548
1976-04-01,1848.046
1976-07-01,1886.313
1976-10-01,1926.518
1977-01-01,1981.672
1977-04-01,2055.958
1977-07-01,2118.754
1977-10-01,2174.303
1978-01-01,2222.063
1978-04-01,2328.334
1978-07-01,2386.747
1978-10-01,2462.275
1979-01-01,2527.379
1979-04-01,2579.684
1979-07-01,2645.249
1979-10-01,2704.499
1980-01-01,2759.719
1980-04-01,2777.207
1980-07-01,2858.124
1980-10-01,2993.203
1981-01-01,3096.018
1981-04-01,3156.683
1981-07-01,3263.892
1981-10-01,3290.967
1982-01-01,3308.018
1982-04-01,3367.474
1982-07-01,3395.655
1982-10-01,3414.654
1983-01-01,3476.739
1983-04-01,3563.3
1983-07-01,3651.31
1983-10-01,3765.346
1984-01-01,3903.092
1984-04-01,4000.297
1984-07-01,4077.525
1984-10-01,4148.302
1985-01-01,4216.785
1985-04-01,4275.782
1985-07-01,4348.04
1985-10-01,4399.687
1986-01-01,4461.438
1986-04-01,4484.034
1986-07-01,4533.206
1986-10-01,4587.452
1987-01-01,4666.546
1987-04-01,4777.275
1987-07-01,4882.717
1987-10-01,4988.962
1988-01-01,5093.051
1988-04-01,5199.089
1988-07-01,5305.69
1988-10-01,5426.522
1989-01-01,5516.05
1989-04-01,5564.085
1989-07-01,5630.332
1989-10-01,5683.037
1990-01-01,5797.327
1990-04-01,5896.422
1990-07-01,5937.88
1990-10-01,5977.512
1991-01-01,6012.115
1991-04-01,6062.64
1991-07-01,6123.264
1991-10-01,6188.96
1992-01-01,6317.254
1992-04-01,6407.04
1992-07-01,6455.657
1992-10-01,6561.906
1993-01-01,6582.626
1993-04-01,6694.385
1993-07-01,6752.919
1993-10-01,6905.156
1994-01-01,6983.103
1994-04-01,7120.734
1994-07-01,7226.186
1994-10-01,7350.967
1995-01-01,7431.014
1995-04-01,7512.712
1995-07-01,7628.409
1995-10-01,7726.604
1996-01-01,7856.62
1996-04-01,7994.958
1996-07-01,8091.548
1996-10-01,8240.484
1997-01-01,8372.374
1997-04-01,8505.004
1997-07-01,8670.267
1997-10-01,8809.416
1998-01-01,8923.233
1998-04-01,9067.097
1998-07-01,9217.433
1998-10-01,9334.067
1999-01-01,9501.545
1999-04-01,9598.256
1999-07-01,9720.451
1999-10-01,9936.59
2000-01-01,10208.867
2000-04-01,10330.189
2000-07-01,10466.969
2000-10-01,10528.626
2001-01-01,10704.006
2001-04-01,10762.409
2001-07-01,10732.963
2001-10-01,10775.388
2002-01-01,10893.475
2002-04-01,11005.436
2002-07-01,11082.281
2002-10-01,11236.34
2003-01-01,11289.078
2003-04-01,11431.024
2003-07-01,11607.846
2003-10-01,11792.253
2004-01-01,11999.655
2004-04-01,12220.705
2004-07-01,12450.704
2004-10-01,12585.948
2005-01-01,12839.358
2005-04-01,13031.718
2005-07-01,13255.404
2005-10-01,13542.703
2006-01-01,13868.733
2006-04-01,14005.347
2006-07-01,14152.092
2006-10-01,14262.901
2007-01-01,14395.864
2007-04-01,14548.846
2007-07-01,14569.721
2007-10-01,14659.542
2008-01-01,14695.504
2008-04-01,14747.568
2008-07-01,14817.578
2008-10-01,14478.958
2009-01-01,14250.785
2009-04-01,14290.394
2009-07-01,14418.621
2009-10-01,14644.011
2010-01-01,14778.028
2010-04-01,15014.683
2010-07-01,15288.818
2010-10-01,15429.56
2011-01-01,15536.745
2011-04-01,15755.711
2011-07-01,15937.431
2011-10-01,16113.209
2012-01-01,16533.771
2012-04-01,16637.595
2012-07-01,16631.483
2012-10-01,16873.645
2013-01-01,16941.741
2013-04-01,17105.535
2013-07-01,17213.045
2013-10-01,17429.775
2014-01-01,17596.532
2014-04-01,17943.381
2014-07-01,18266.006
2014-10-01,18413.915
2015-01-01,18522.052
2015-04-01,18677.004
2015-07-01,18773.283
2015-10-01,18811.698
2016-01-01,18881.339
2016-04-01,18936.427
2016-07-01,19109.291
2016-10-01,19350.18
2017-01-01,19628.907
2017-04-01,19839.821
2017-07-01,20051.798
2017-10-01,20346.344
2018-01-01,20634.346
2018-04-01,20824.756
2018-07-01,21107.295
2018-10-01,21251.89
2019-01-01,21394.299
2019-04-01,21618.405
2019-07-01,21745.088
2019-10-01,22002.259
2020-01-01,21914.503
2020-04-01,19685.407
2020-07-01,21014.427
2020-10-01,21887.684
