DATE,ASTIWEQ027S
1959-01-01,64603
1959-04-01,67907
1959-07-01,65628
1959-10-01,65926
1960-01-01,69456.0
1960-04-01,68144.0
1960-07-01,67660.0
1960-10-01,66552.0
1961-01-01,66467.0
1961-04-01,68368.0
1961-07-01,70118.0
1961-10-01,72859.0
1962-01-01,72546.0
1962-04-01,73784.0
1962-07-01,75871.0
1962-10-01,77203.0
1963-01-01,77821.0
1963-04-01,79723.0
1963-07-01,80709.0
1963-10-01,81919.0
1964-01-01,80151.0
1964-04-01,76123.0
1964-07-01,78555.0
1964-10-01,79739.0
1965-01-01,85308.0
1965-04-01,87647.0
1965-07-01,86765.0
1965-10-01,90008.0
1966-01-01,94234.0
1966-04-01,98195.0
1966-07-01,100010.0
1966-10-01,102001.0
1967-01-01,101807.0
1967-04-01,101286.0
1967-07-01,104441.0
1967-10-01,108278.0
1968-01-01,115020.0
1968-04-01,118729.0
1968-07-01,128977.0
1968-10-01,133878.0
1969-01-01,141302.0
1969-04-01,143128.0
1969-07-01,140207.0
1969-10-01,141219.0
1970-01-01,135649.0
1970-04-01,136668.0
1970-07-01,132801.0
1970-10-01,132214.0
1971-01-01,132715.0
1971-04-01,136030.0
1971-07-01,136859.0
1971-10-01,140448.0
1972-01-01,156925.0
1972-04-01,160830.0
1972-07-01,163045.0
1972-10-01,170200.0
1973-01-01,172415.0
1973-04-01,175217.0
1973-07-01,178073.0
1973-10-01,186451.0
1974-01-01,187396.0
1974-04-01,195566.0
1974-07-01,206423.0
1974-10-01,203747.0
1975-01-01,196300.0
1975-04-01,162488.0
1975-07-01,204855.0
1975-10-01,211841.0
1976-01-01,223347.0
1976-04-01,228717.0
1976-07-01,235108.0
1976-10-01,241184.0
1977-01-01,251718.0
1977-04-01,264111.0
1977-07-01,269391.0
1977-10-01,280312.0
1978-01-01,278188.0
1978-04-01,303092.0
1978-07-01,316526.0
1978-10-01,332198.0
1979-01-01,335549.0
1979-04-01,344110.0
1979-07-01,355863.0
1979-10-01,363078.0
1980-01-01,370213.0
1980-04-01,357106.0
1980-07-01,374339.0
1980-10-01,398326.0
1981-01-01,409038.0
1981-04-01,411748.0
1981-07-01,428535.0
1981-10-01,415059.0
1982-01-01,403127.0
1982-04-01,412471.0
1982-07-01,403361.0
1982-10-01,405189.0
1983-01-01,401113.0
1983-04-01,424885.0
1983-07-01,419416.0
1983-10-01,431778.0
1984-01-01,449610.0
1984-04-01,457588.0
1984-07-01,458854.0
1984-10-01,471520.0
1985-01-01,512797.0
1985-04-01,467336.0
1985-07-01,506267.0
1985-10-01,511292.0
1986-01-01,514144.0
1986-04-01,517821.0
1986-07-01,529471.0
1986-10-01,557272.0
1987-01-01,552274.0
1987-04-01,626793.0
1987-07-01,608860.0
1987-10-01,621229.0
1988-01-01,614661.0
1988-04-01,617807.0
1988-07-01,635788.0
1988-10-01,652564.0
1989-01-01,690049.0
1989-04-01,689658.0
1989-07-01,690515.0
1989-10-01,698405.0
