DATE,BOGZ1FA896130061Q
1946-10-01,0.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,0.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,160.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,180.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,208.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,250.0
1952-01-01,287.0
1952-04-01,287.0
1952-07-01,287.0
1952-10-01,287.0
1953-01-01,319.0
1953-04-01,319.0
1953-07-01,319.0
1953-10-01,319.0
1954-01-01,274.0
1954-04-01,274.0
1954-07-01,274.0
1954-10-01,274.0
1955-01-01,317.0
1955-04-01,317.0
1955-07-01,317.0
1955-10-01,317.0
1956-01-01,382.0
1956-04-01,382.0
1956-07-01,382.0
1956-10-01,382.0
1957-01-01,456.0
1957-04-01,456.0
1957-07-01,456.0
1957-10-01,456.0
1958-01-01,468.0
1958-04-01,468.0
1958-07-01,468.0
1958-10-01,468.0
1959-01-01,610.0
1959-04-01,610.0
1959-07-01,610.0
1959-10-01,610.0
1960-01-01,808.0
1960-04-01,808.0
1960-07-01,808.0
1960-10-01,808.0
1961-01-01,748.0
1961-04-01,748.0
1961-07-01,748.0
1961-10-01,748.0
1962-01-01,854.0
1962-04-01,854.0
1962-07-01,854.0
1962-10-01,854.0
1963-01-01,1008.0
1963-04-01,1008.0
1963-07-01,1008.0
1963-10-01,1008.0
1964-01-01,1168.0
1964-04-01,1168.0
1964-07-01,1168.0
1964-10-01,1168.0
1965-01-01,1333.0
1965-04-01,1333.0
1965-07-01,1333.0
1965-10-01,1333.0
1966-01-01,1692.0
1966-04-01,1692.0
1966-07-01,1692.0
1966-10-01,1692.0
1967-01-01,1891.0
1967-04-01,1891.0
1967-07-01,1891.0
1967-10-01,1891.0
1968-01-01,2445.0
1968-04-01,2445.0
1968-07-01,2445.0
1968-10-01,2445.0
1969-01-01,3999.0
1969-04-01,3999.0
1969-07-01,3999.0
1969-10-01,3999.0
1970-01-01,4656.0
1970-04-01,4656.0
1970-07-01,4656.0
1970-10-01,4656.0
1971-01-01,4245.0
1971-04-01,4245.0
1971-07-01,4245.0
1971-10-01,4245.0
1972-01-01,5217.0
1972-04-01,5217.0
1972-07-01,5217.0
1972-10-01,5217.0
1973-01-01,7937.0
1973-04-01,7937.0
1973-07-01,7937.0
1973-10-01,7937.0
1974-01-01,11019.0
1974-04-01,11019.0
1974-07-01,11019.0
1974-10-01,11019.0
1975-01-01,11345.0
1975-04-01,11345.0
1975-07-01,11345.0
1975-10-01,11345.0
1976-01-01,10705.0
1976-04-01,10705.0
1976-07-01,10705.0
1976-10-01,10705.0
1977-01-01,11767.0
1977-04-01,11767.0
1977-07-01,11767.0
1977-10-01,11767.0
1978-01-01,18035.0
1978-04-01,18035.0
1978-07-01,18035.0
1978-10-01,18035.0
1979-01-01,27940.0
1979-04-01,27940.0
1979-07-01,27940.0
1979-10-01,27940.0
1980-01-01,35970.0
1980-04-01,35970.0
1980-07-01,35970.0
1980-10-01,35970.0
1981-01-01,50023.0
1981-04-01,50023.0
1981-07-01,50023.0
1981-10-01,50023.0
1982-01-01,59700.0
1982-04-01,59700.0
1982-07-01,59700.0
1982-10-01,59700.0
1983-01-01,58000.0
1983-04-01,58000.0
1983-07-01,58000.0
1983-10-01,58000.0
1984-01-01,75200.0
1984-04-01,75200.0
1984-07-01,75200.0
1984-10-01,75200.0
1985-01-01,77736.0
1985-04-01,77736.0
1985-07-01,77736.0
1985-10-01,77736.0
1986-01-01,83005.0
1986-04-01,82658.0
1986-07-01,80492.0
1986-10-01,83577.0
1987-01-01,83699.0
1987-04-01,90137.0
1987-07-01,93028.0
1987-10-01,103285.0
1988-01-01,103225.0
1988-04-01,106362.0
1988-07-01,117390.0
1988-10-01,125026.0
1989-01-01,136605.0
1989-04-01,144096.0
1989-07-01,142976.0
1989-10-01,145229.0
1990-01-01,143898.0
1990-04-01,143070.0
1990-07-01,146315.0
1990-10-01,150098.0
1991-01-01,145475.0
1991-04-01,135129.0
1991-07-01,130779.0
1991-10-01,123479.0
1992-01-01,117367.0
1992-04-01,112497.0
1992-07-01,107961.0
1992-10-01,106080.0
1993-01-01,106472.0
1993-04-01,104129.0
1993-07-01,105478.0
1993-10-01,113052.0
1994-01-01,112011.0
1994-04-01,124452.0
1994-07-01,134060.0
1994-10-01,145715.0
1995-01-01,152680.0
1995-04-01,160291.0
1995-07-01,165379.0
1995-10-01,166430.0
1996-01-01,163097.0
1996-04-01,166933.0
1996-07-01,173897.0
1996-10-01,183439.0
1997-01-01,190710.0
1997-04-01,199297.0
1997-07-01,205072.0
1997-10-01,213554.0
1998-01-01,215963.0
1998-04-01,217269.0
1998-07-01,221960.0
1998-10-01,218185.0
1999-01-01,215852.0
1999-04-01,218247.0
1999-07-01,230633.0
1999-10-01,248599.0
2000-01-01,256167.0
2000-04-01,276868.0
2000-07-01,288463.0
2000-10-01,293189.0
2001-01-01,278873.0
2001-04-01,262223.0
2001-07-01,242929.0
2001-10-01,214771.0
2002-01-01,204106.0
2002-04-01,213273.0
2002-07-01,211446.0
2002-10-01,207567.0
2003-01-01,191592.0
2003-04-01,192317.0
2003-07-01,194234.0
2003-10-01,195215.0
2004-01-01,197745.0
2004-04-01,214057.0
2004-07-01,233847.0
2004-10-01,257795.0
2005-01-01,281848.0
2005-04-01,306078.0
2005-07-01,336200.0
2005-10-01,369926.0
2006-01-01,407416.0
2006-04-01,452637.0
2006-07-01,481743.0
2006-10-01,511439.0
2007-01-01,541130.0
2007-04-01,587665.0
2007-07-01,596760.0
2007-10-01,587461.0
2008-01-01,527474.0
2008-04-01,498985.0
2008-07-01,496999.0
2008-10-01,450377.0
2009-01-01,382265.0
2009-04-01,344391.0
2009-07-01,325306.0
2009-10-01,320897.0
