DATE,HNICTIQ027S
1946-10-01,17210
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,19790
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,19205
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,16733
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,18912
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,27055
1952-01-01,30876
1952-04-01,31813
1952-07-01,32274
1952-10-01,33057
1953-01-01,33411
1953-04-01,33439
1953-07-01,33187
1953-10-01,32931
1954-01-01,30196
1954-04-01,29977
1954-07-01,30005
1954-10-01,30462
1955-01-01,31412
1955-04-01,32429
1955-07-01,33364
1955-10-01,34231
1956-01-01,35367
1956-04-01,36239
1956-07-01,36901
1956-10-01,37857
1957-01-01,38578
1957-04-01,38965
1957-07-01,39197
1957-10-01,38804
1958-01-01,38178
1958-04-01,37696
1958-07-01,38945
1958-10-01,39376
1959-01-01,40758
1959-04-01,41986
1959-07-01,42679
1959-10-01,43733
1960-01-01,45292
1960-04-01,46028
1960-07-01,46528
1960-10-01,46424
1961-01-01,46511
1961-04-01,46944
1961-07-01,47402
1961-10-01,48143
1962-01-01,49402
1962-04-01,50924
1962-07-01,52319
1962-10-01,53575
1963-01-01,54101
1963-04-01,54311
1963-07-01,54593
1963-10-01,55203
1964-01-01,53755
1964-04-01,49723
1964-07-01,51575
1964-10-01,53223
1965-01-01,56964
1965-04-01,58415
1965-07-01,57005
1965-10-01,58272
1966-01-01,61526
1966-04-01,65567
1966-07-01,67854
1966-10-01,70565
1967-01-01,71175
1967-04-01,70942
1967-07-01,73833
1967-10-01,75894
1968-01-01,78564
1968-04-01,81665
1968-07-01,91861
1968-10-01,95858
1969-01-01,102602
1969-04-01,105660
1969-07-01,104139
1969-10-01,105623
1970-01-01,104573
1970-04-01,105512
1970-07-01,100657
1970-10-01,101538
1971-01-01,98331
1971-04-01,100714
1971-07-01,102307
1971-10-01,105468
1972-01-01,119785
1972-04-01,123370
1972-07-01,124277
1972-10-01,127128
1973-01-01,126399
1973-04-01,129181
1973-07-01,134089
1973-10-01,139959
1974-01-01,142792
1974-04-01,148902
1974-07-01,154911
1974-10-01,157587
1975-01-01,157988
1975-04-01,121068
1975-07-01,152831
1975-10-01,158541
1976-01-01,162503
1976-04-01,169337
1976-07-01,176128
1976-10-01,182716
1977-01-01,188798
1977-04-01,195691
1977-07-01,198551
1977-10-01,208476
1978-01-01,211996
1978-04-01,223084
1978-07-01,236298
1978-10-01,247218
1979-01-01,253625
1979-04-01,261998
1979-07-01,274827
1979-10-01,285202
1980-01-01,284825
1980-04-01,292174
1980-07-01,302195
1980-10-01,318854
1981-01-01,330898
1981-04-01,342672
1981-07-01,356887
1981-10-01,352663
1982-01-01,352515
1982-04-01,359735
1982-07-01,350149
1982-10-01,356573
1983-01-01,350873
1983-04-01,359553
1983-07-01,345432
1983-10-01,355658
1984-01-01,361174
1984-04-01,370444
1984-07-01,384110
1984-10-01,395936
1985-01-01,432285
1985-04-01,388524
1985-07-01,421527
1985-10-01,428916
1986-01-01,426304
1986-04-01,429417
1986-07-01,439467
1986-10-01,456036
1987-01-01,450732
1987-04-01,511671
1987-07-01,488976
1987-10-01,506969
1988-01-01,502070.0
1988-04-01,497805.0
1988-07-01,506668.0
1988-10-01,517213.0
1989-01-01,552879.0
1989-04-01,566694.0
1989-07-01,571581.0
1989-10-01,579785.0
1990-01-01,582523.0
1990-04-01,594611.0
1990-07-01,600726
1990-10-01,600814.0
1991-01-01,580772.0
1991-04-01,585925.0
1991-07-01,590237.0
1991-10-01,598671.0
1992-01-01,588897.0
1992-04-01,607169.0
1992-07-01,616201.0
1992-10-01,638942.0
1993-01-01,617005.0
1993-04-01,643507.0
1993-07-01,659210.0
1993-10-01,675296.0
1994-01-01,673667.0
1994-04-01,697839.0
1994-07-01,695382.0
1994-10-01,705402.0
1995-01-01,724613.0
1995-04-01,746808.0
1995-07-01,752216.0
1995-10-01,769990.0
1996-01-01,801731.0
1996-04-01,839564.0
1996-07-01,843542.0
1996-10-01,863498.0
1997-01-01,902112.0
1997-04-01,916234.0
1997-07-01,941108.0
1997-10-01,967830.0
1998-01-01,996132.0
1998-04-01,1022352.0
1998-07-01,1043209.0
1998-10-01,1067989.0
1999-01-01,1077946.0
1999-04-01,1095158.0
1999-07-01,1120596.0
1999-10-01,1153957.0
2000-01-01,1208755.0
2000-04-01,1230160.0
2000-07-01,1247708.0
2000-10-01,1258695.0
2001-01-01,1301904.0
2001-04-01,1308869.0
2001-07-01,1113622.0
2001-10-01,1231793.0
2002-01-01,1075158.0
2002-04-01,1050988.0
2002-07-01,1044121.0
2002-10-01,1038444.0
2003-01-01,1021348.0
2003-04-01,1020795.0
2003-07-01,950666.0
2003-10-01,1021343.0
2004-01-01,1012259.0
2004-04-01,1026759.0
2004-07-01,1064383.0
2004-10-01,1091579.0
2005-01-01,1172277.0
2005-04-01,1196293.0
2005-07-01,1225480.0
2005-10-01,1255774.0
2006-01-01,1320481.0
2006-04-01,1351258.0
2006-07-01,1358615.0
2006-10-01,1397497.0
2007-01-01,1466544.0
2007-04-01,1495933.0
2007-07-01,1498852.0
2007-10-01,1508627.0
2008-01-01,1535137.0
2008-04-01,1552464.0
2008-07-01,1497496.0
2008-10-01,1444906.0
2009-01-01,1202365.0
2009-04-01,1131101.0
2009-07-01,1135303.0
2009-10-01,1140741.0
2010-01-01,1191795.0
2010-04-01,1213243.0
2010-07-01,1256304.0
2010-10-01,1289139.0
2011-01-01,1426570.0
2011-04-01,1445862.0
2011-07-01,1471428.0
2011-10-01,1470904.0
2012-01-01,1468324.0
2012-04-01,1487683.0
2012-07-01,1510004.0
2012-10-01,1572046.0
2013-01-01,1649989.0
2013-04-01,1682490.0
2013-07-01,1674895.0
2013-10-01,1698110.0
2014-01-01,1744805.0
2014-04-01,1758412.0
2014-07-01,1798598.0
2014-10-01,1836495.0
2015-01-01,1904557.0
2015-04-01,1942962.0
2015-07-01,1947348.0
2015-10-01,1964926.0
2016-01-01,1924985.0
2016-04-01,1945153.0
2016-07-01,1971037.0
2016-10-01,1990370.0
2017-01-01,2001076.0
2017-04-01,2005595.0
2017-07-01,2052342.0
2017-10-01,2127850.0
2018-01-01,2085627.0
2018-04-01,2064385.0
2018-07-01,2100464.0
2018-10-01,2090664.0
2019-01-01,2170693.0
2019-04-01,2222487.0
2019-07-01,2197141.0
2019-10-01,2221193.0
2020-01-01,2252395.0
2020-04-01,2096512.0
2020-07-01,2191581.0
2020-10-01,2236126.0
