DATE,IEAXID
1999-01-01,30247
1999-04-01,32541
1999-07-01,34797
1999-10-01,37733
2000-01-01,38097
2000-04-01,39111
2000-07-01,37378
2000-10-01,41481
2001-01-01,35141
2001-04-01,34280
2001-07-01,31995
2001-10-01,31794
2002-01-01,34926
2002-04-01,36998
2002-07-01,39464
2002-10-01,38030
2003-01-01,42484
2003-04-01,44752
2003-07-01,47072
2003-10-01,54069
2004-01-01,60463
2004-04-01,61964
2004-07-01,63348
2004-10-01,65126
2005-01-01,71110
2005-04-01,70815
2005-07-01,72983
2005-10-01,76511
2006-01-01,76349
2006-04-01,80607
2006-07-01,81094
2006-10-01,82925
2007-01-01,84885
2007-04-01,91606
2007-07-01,95384
2007-10-01,99920
2008-01-01,107608
2008-04-01,112724
2008-07-01,108634
2008-10-01,86259
2009-01-01,80972
2009-04-01,86693
2009-07-01,97089
2009-10-01,104418
2010-01-01,107636
2010-04-01,109559
2010-07-01,110555
2010-10-01,115278
2011-01-01,116793
2011-04-01,118562
2011-07-01,120463
2011-10-01,117807
2012-01-01,119890
2012-04-01,112375
2012-07-01,116667
2012-10-01,115880
2013-01-01,117417
2013-04-01,118722
2013-07-01,119834
2013-10-01,120239
2014-01-01,119396
2014-04-01,118785
2014-07-01,123094
2014-10-01,120779
2015-01-01,113959
2015-04-01,116015
2015-07-01,115835
2015-10-01,109106
2016-01-01,108628
2016-04-01,114946
2016-07-01,117436
2016-10-01,126311
2017-01-01,131520
2017-04-01,131652
2017-07-01,142791
2017-10-01,155088
2018-01-01,147166
2018-04-01,151199
2018-07-01,142704
2018-10-01,146787
2019-01-01,141066
2019-04-01,145837
2019-07-01,144810
2019-10-01,146363
2020-01-01,120010
2020-04-01,104532
2020-07-01,132791
2020-10-01,137403
