DATE,TOTLQ
1964-01-01,110.928
1964-04-01,112.181
1964-07-01,113.031
1964-10-01,114.241
1965-01-01,115.982
1965-04-01,117.091
1965-07-01,118.082
1965-10-01,119.593
1966-01-01,121.655
1966-04-01,122.965
1966-07-01,123.808
1966-10-01,124.588
1967-01-01,124.729
1967-04-01,124.4
1967-07-01,125.192
1967-10-01,125.97
1968-01-01,126.49
1968-04-01,127.532
1968-07-01,128.673
1968-10-01,129.327
1969-01-01,130.641
1969-04-01,131.757
1969-07-01,132.609
1969-10-01,132.84
1970-01-01,132.152
1970-04-01,131.285
1970-07-01,130.456
1970-10-01,129.583
1971-01-01,129.905
1971-04-01,130.473
1971-07-01,130.843
1971-10-01,131.632
1972-01-01,133.781
1972-04-01,135.1
1972-07-01,135.977
1972-10-01,137.355
1973-01-01,139.21
1973-04-01,140.476
1973-07-01,141.247
1973-10-01,141.856
1974-01-01,142.045
1974-04-01,141.76
1974-07-01,142.087
1974-10-01,140.649
1975-01-01,137.403
1975-04-01,136.416
1975-07-01,137.48
1975-10-01,139.125
1976-01-01,141.382
1976-04-01,141.821
1976-07-01,142.056
1976-10-01,143.142
1977-01-01,144.012
1977-04-01,146.385
1977-07-01,147.998
1977-10-01,149.541
1978-01-01,150.062
1978-04-01,153.829
1978-07-01,155.429
1978-10-01,156.801
1979-01-01,157.739
1979-04-01,158.137
1979-07-01,159.458
1979-10-01,159.773
1980-01-01,159.703
1980-04-01,157.91
1980-07-01,156.932
1980-10-01,158.694
1981-01-01,159.293
1981-04-01,159.504
1981-07-01,159.359
1981-10-01,158.711
1982-01-01,156.205
1982-04-01,156.91
1982-07-01,155.761
1982-10-01,154.712
1983-01-01,155.58
1983-04-01,156.956
1983-07-01,159.594
1983-10-01,161.918
1984-01-01,164.509
1984-04-01,166.474
1984-07-01,167.691
1984-10-01,168.969
1985-01-01,169.751
1985-04-01,171.196
1985-07-01,172.031
1985-10-01,172.981
1986-01-01,172.858
1986-04-01,172.843
1986-07-01,173.39
1986-10-01,174.534
1987-01-01,176.596
1987-04-01,178.048
1987-07-01,179.284
1987-10-01,180.88
1988-01-01,181.488
1988-04-01,183.236
1988-07-01,184.369
1988-10-01,186.275
1989-01-01,188.28
1989-04-01,189.28
1989-07-01,189.59
1989-10-01,190.328
1990-01-01,190.613
1990-04-01,190.875
1990-07-01,190.66
1990-10-01,189.409
1991-01-01,188.295
1991-04-01,187.131
1991-07-01,187.328
1991-10-01,187.854
1992-01-01,187.586
1992-04-01,188.41
1992-07-01,188.066
1992-10-01,189.457
1993-01-01,190.769
1993-04-01,192.611
1993-07-01,193.445
1993-10-01,195.044
1994-01-01,196.631
1994-04-01,199.185
1994-07-01,200.996
1994-10-01,202.178
1995-01-01,203.549
1995-04-01,203.723
1995-07-01,205.102
1995-10-01,205.517
1996-01-01,205.276
1996-04-01,207.902
1996-07-01,209.717
1996-10-01,211.531
1997-01-01,212.35
1997-04-01,213.778
1997-07-01,215.387
1997-10-01,217.152
1998-01-01,218.52
1998-04-01,219.565
1998-07-01,220.229
1998-10-01,222.38
1999-01-01,223.046
1999-04-01,224.587
1999-07-01,225.645
1999-10-01,227.05
2000-01-01,228.644
2000-04-01,229.47
2000-07-01,229.697
2000-10-01,229.417
2001-01-01,229.255
2001-04-01,227.713
2001-07-01,226.839
2001-10-01,224.93
2002-01-01,223.956
2002-04-01,224.776
2002-07-01,224.384
2002-10-01,224.331
2003-01-01,222.841
2003-04-01,222.404
2003-07-01,222.224
2003-10-01,222.922
2004-01-01,224.394
2004-04-01,224.788
2004-07-01,225.396
2004-10-01,226.351
2005-01-01,227.276
2005-04-01,228.004
2005-07-01,229.486
2005-10-01,230.458
2006-01-01,232.252
2006-04-01,232.771
2006-07-01,233.847
2006-10-01,234.727
2007-01-01,234.714
2007-04-01,236.087
2007-07-01,236.093
2007-10-01,236.936
2008-01-01,236.297
2008-04-01,235.396
2008-07-01,233.562
2008-10-01,230.196
2009-01-01,225.281
2009-04-01,221.188
2009-07-01,218.885
2009-10-01,218.613
2010-01-01,218.914
2010-04-01,221.619
2010-07-01,221.95
2010-10-01,222.5
2011-01-01,222.957
2011-04-01,224.898
2011-07-01,225.635
2011-10-01,226.889
2012-01-01,227.913
2012-04-01,228.255
2012-07-01,229.911
2012-10-01,230.431
2013-01-01,231.51
2013-04-01,232.083
2013-07-01,233.023
2013-10-01,234.457
2014-01-01,234.446
2014-04-01,236.916
2014-07-01,237.835
2014-10-01,239.812
2015-01-01,240.527
2015-04-01,241.408
2015-07-01,242.689
2015-10-01,243.78
2016-01-01,244.634
2016-04-01,244.954
2016-07-01,246.126
2016-10-01,246.382
2017-01-01,247.118
2017-04-01,248.985
2017-07-01,249.548
2017-10-01,251.228
2018-01-01,251.956
2018-04-01,253.633
2018-07-01,254.648
2018-10-01,255.136
2019-01-01,255.359
2019-04-01,255.806
2019-07-01,256.721
2019-10-01,257.257
2020-01-01,255.282
2020-04-01,227.663
2020-07-01,241.476
2020-10-01,245.587
