DATE,W019RCQ027SBEA
1959-07-01,102.78
1959-10-01,102.643
1960-01-01,99.951
1960-04-01,102.035
1960-07-01,104.217
1960-10-01,106.577
1961-01-01,108.531
1961-04-01,111.561
1961-07-01,112.58
1961-10-01,114.408
1962-01-01,118.949
1962-04-01,120.737
1962-07-01,122.299
1962-10-01,124.211
1963-01-01,123.892
1963-04-01,124.193
1963-07-01,127.358
1963-10-01,128.255
1964-01-01,130.485
1964-04-01,131.683
1964-07-01,131.223
1964-10-01,129.868
1965-01-01,131.44
1965-04-01,133.424
1965-07-01,139.931
1965-10-01,143.739
1966-01-01,150.057
1966-04-01,155.305
1966-07-01,161.733
1966-10-01,166.68
1967-01-01,176.472
1967-04-01,175.689
1967-07-01,181.526
1967-10-01,183.494
1968-01-01,188.848
1968-04-01,195.598
1968-07-01,198.456
1968-10-01,202.643
1969-01-01,201.334
1969-04-01,205.6
1969-07-01,210.616
1969-10-01,213.885
1970-01-01,218.169
1970-04-01,228.059
1970-07-01,230.256
1970-10-01,234.564
1971-01-01,235.396
1971-04-01,248.015
1971-07-01,248.382
1971-10-01,251.59
1972-01-01,263.885
1972-04-01,273.947
1972-07-01,264.747
1972-10-01,287.431
1973-01-01,285.337
1973-04-01,293.03
1973-07-01,285.608
1973-10-01,294.608
1974-01-01,305.593
1974-04-01,309.908
1974-07-01,331.916
1974-10-01,342.122
1975-01-01,362.069
1975-04-01,383.701
1975-07-01,392.615
1975-10-01,402.201
1976-01-01,406.386
1976-04-01,405.05
1976-07-01,417.609
1976-10-01,430.145
1977-01-01,435.795
1977-04-01,443.204
1977-07-01,455.783
1977-10-01,469.307
1978-01-01,482.319
1978-04-01,491.498
1978-07-01,511.231
1978-10-01,524.09
1979-01-01,528.925
1979-04-01,542.191
1979-07-01,564.415
1979-10-01,577.308
1980-01-01,608.276
1980-04-01,635.802
1980-07-01,663.6
1980-10-01,672.25
1981-01-01,707.577
1981-04-01,719.178
1981-07-01,737.44
1981-10-01,764.786
1982-01-01,776.728
1982-04-01,796.653
1982-07-01,822.7
1982-10-01,850.183
1983-01-01,866.856
1983-04-01,871.501
1983-07-01,896.644
1983-10-01,900.154
1984-01-01,913.474
1984-04-01,934.407
1984-07-01,950.602
1984-10-01,987.607
1985-01-01,1000.093
1985-04-01,1020.605
1985-07-01,1039.807
1985-10-01,1055.063
1986-01-01,1061.329
1986-04-01,1081.818
1986-07-01,1116.762
1986-10-01,1096.907
1987-01-01,1103.86
1987-04-01,1124.428
1987-07-01,1127.403
1987-10-01,1149.211
1988-01-01,1159.032
1988-04-01,1160.874
1988-07-01,1166.562
1988-10-01,1197.778
1989-01-01,1216.989
1989-04-01,1236.323
1989-07-01,1257.953
1989-10-01,1271.381
1990-01-01,1308.205
1990-04-01,1332.449
1990-07-01,1342.011
1990-10-01,1389.495
1991-01-01,1325.372
1991-04-01,1388.654
1991-07-01,1438.653
1991-10-01,1445.678
1992-01-01,1493.079
1992-04-01,1513.167
1992-07-01,1534.869
1992-10-01,1558.025
1993-01-01,1553.356
1993-04-01,1560.323
1993-07-01,1577.485
1993-10-01,1599.575
1994-01-01,1569.243
1994-04-01,1588.706
1994-07-01,1623.282
1994-10-01,1643.25
1995-01-01,1667.291
1995-04-01,1680.556
1995-07-01,1664.223
1995-10-01,1682.7
1996-01-01,1731.116
1996-04-01,1737.194
1996-07-01,1735.773
1996-10-01,1737.909
1997-01-01,1751.051
1997-04-01,1745.817
1997-07-01,1776.006
1997-10-01,1803.842
1998-01-01,1783.291
1998-04-01,1789.629
1998-07-01,1806.229
1998-10-01,1835.281
1999-01-01,1835.529
1999-04-01,1847.184
1999-07-01,1872.809
1999-10-01,1931.552
2000-01-01,1899.995
2000-04-01,1942.794
2000-07-01,1950.214
2000-10-01,1981.39
2001-01-01,2015.413
2001-04-01,2047.246
2001-07-01,2080.538
2001-10-01,2091.521
2002-01-01,2158.408
2002-04-01,2191.647
2002-07-01,2208.623
2002-10-01,2269.361
2003-01-01,2308.053
2003-04-01,2394.107
