Date,AHETPI,EMRATIO,POPTHM,TOTLQ,W019RCQ027SBEA,A023RC1Q027SBEA,ASCOEPQ027S,ASTIWEQ027S,GDP,GNP,W006RC1Q027SBEA,UNRATE,Government,HNICTIQ027S,NationalIncome,FYGFD,IITTRHB,GDI,GINIALLRF
4/1/1964,2.52,55.87,191560.33,112.181,131.683,683.602,372676,76123,678.674,683.549,83.648,5.2,3.951,49723,70.797,316.1,77,678.727,0.36
7/1/1964,2.55,55.7,192256,113.031,131.223,696.146,380065,78555,692.031,697.079,85.964,5,4.139,51575,72.492,316.1,77,691.099,0.36
10/1/1964,2.56,55.63,192937.67,114.241,129.868,705.605,386147,79739,697.319,702.017,87.432,4.97,4.249,53223,71.69,316.1,77,700.907,0.36
1/1/1965,2.59,55.77,193466.67,115.982,131.44,725.589,392925,85308,717.79,723.225,93.352,4.9,4.323,56964,79.043,322.3,70,720.153,0.36
4/1/1965,2.62,56.1,193994,117.091,133.424,738.323,399920,87647,730.191,735.832,94.828,4.67,4.38,58415,81.806,322.3,70,732.682,0.36
7/1/1965,2.64,56.33,194646.67,118.082,139.931,751.157,408335,86765,749.323,754.576,92.916,4.37,4.43,57005,83.277,322.3,70,745.904,0.36
10/1/1965,2.67,56.47,195278.67,119.593,143.739,772.248,420458,90008,771.857,776.644,96.116,4.1,4.535,58272,88.313,322.3,70,767.461,0.36
1/1/1966,2.69,56.63,195763,121.655,150.057,794.328,433085,94234,795.734,800.732,98.692,3.87,4.847,61526,90.826,328.5,70,789.33,0.35
4/1/1966,2.72,56.8,196276.67,122.965,155.305,806.14,444388,98195,804.981,810.033,102.972,3.83,5.225,65567,91.204,328.5,70,801.087,0.35
7/1/1966,2.75,57,196876.67,123.808,161.733,819.364,455645,100010,819.638,824.605,104.296,3.77,5.634,67854,90.553,328.5,70,814.397,0.35
10/1/1966,2.78,57.27,197480.67,124.588,166.68,833.767,463780,102001,833.302,838.565,106.272,3.7,5.982,70565,88.953,328.5,70,828.504,0.35
1/1/1967,2.81,56.97,197967,124.729,176.472,842.018,469977,101807,844.17,849.391,105.788,3.83,5.921,71175,85.784,340.4,70,836.797,0.36
4/1/1967,2.83,57.13,198455.33,124.4,175.689,850.76,475619,101286,848.983,854.063,105.568,3.83,5.866,70942,85.602,340.4,70,845.68,0.36
7/1/1967,2.87,57.4,199012,125.192,181.526,868.451,485242,104441,865.233,870.922,108.372,3.8,6.199,73833,87.148,340.4,70,862.762,0.36
10/1/1967,2.91,57.53,199572,125.97,183.494,886.728,496206,108278,881.439,887.023,111.94,3.9,6.462,75894,91.881,340.4,70,881.144,0.36
1/1/1968,2.95,57.23,199994.67,126.49,188.848,909.948,510860,115020,909.387,915.204,118.228,3.73,7.13,78564,95.276,368.7,75.25,904.131,0.35
4/1/1968,3,57.67,200451.67,127.532,195.598,933.464,523980,118729,934.344,940.344,121.904,3.57,7.608,81665,97.59,368.7,75.25,927.464,0.35
7/1/1968,3.05,57.53,200997.33,128.673,198.456,955.53,537809,128977,950.825,957.077,132.152,3.53,8.1,91861,98.14,368.7,75.25,949.278,0.35
10/1/1968,3.1,57.6,201537.67,129.327,202.643,975.457,550305,133878,968.03,974.301,136.584,3.4,8.526,95858,100.619,368.7,75.25,969.186,0.35
1/1/1969,3.14,57.8,201955,130.641,201.334,995.069,562744,141302,993.337,999.671,143.02,3.4,8.94,102602,100.694,365.8,77,988.736,0.35
